Longitude,Latitude,Pixel,Scan
64.8151477,-89.9232575,1200,200
65.5569788,-89.9230106,1300,200
66.2938844,-89.9227509,1400,200
67.0256723,-89.9224786,1500,200
67.7521596,-89.9221937,1600,200
68.4731729,-89.9218965,1700,200
69.1885482,-89.921587,1800,200
69.8981313,-89.9212654,1900,200
70.6017774,-89.9209319,2000,200
71.2993514,-89.9205866,2100,200
71.9907276,-89.9202296,2200,200
72.6757899,-89.9198612,2300,200
73.3544313,-89.9194815,2400,200
74.0265542,-89.9190906,2500,200
74.69207,-89.9186887,2600,200
75.3508987,-89.918276,2700,200
76.0029694,-89.9178527,2800,200
76.6482193,-89.9174189,2900,200
77.2865941,-89.9169747,3000,200
77.9180471,-89.9165204,3100,200
78.5425397,-89.9160561,3200,200
79.1600406,-89.915582,3300,200
79.7705256,-89.9150983,3400,200
80.3739775,-89.914605,3500,200
80.9703859,-89.9141025,3600,200
81.5597465,-89.9135908,3700,200
82.142061,-89.9130701,3800,200
82.7173372,-89.9125406,3900,200
83.2855882,-89.9120024,4000,200
83.8468321,-89.9114558,4100,200
84.4010924,-89.9109008,4200,200
84.9483968,-89.9103376,4300,200
85.4887777,-89.9097664,4400,200
86.0222714,-89.9091873,4500,200
86.5489182,-89.9086005,4600,200
87.0687618,-89.9080061,4700,200
87.5818494,-89.9074043,4800,200
88.0882314,-89.9067953,4900,200
88.5879609,-89.9061791,5000,200
89.0810937,-89.9055559,5100,200
89.5676881,-89.9049259,5200,200
90.0478047,-89.9042892,5300,200
90.5215059,-89.9036459,5400,200
90.9888561,-89.9029961,5500,200
91.4499215,-89.9023401,5600,200
91.9047694,-89.9016778,5700,200
92.3534689,-89.9010096,5800,200
92.7960898,-89.9003353,5900,200
93.2327033,-89.8996553,6000,200
93.6633812,-89.8989696,6100,200
94.0881963,-89.8982784,6200,200
94.5072217,-89.8975816,6300,200
94.9205312,-89.8968796,6400,200
95.3281989,-89.8961723,6500,200
95.7302994,-89.8954599,6600,200
96.126907,-89.8947424,6700,200
96.5180965,-89.8940201,6800,200
96.9039425,-89.8932929,6900,200
97.2845197,-89.8925611,7000,200
97.6599022,-89.8918246,7100,200
98.0301645,-89.8910836,7200,200
98.3953802,-89.8903382,7300,200
98.7556229,-89.8895885,7400,200
99.1109656,-89.8888345,7500,200
99.461481,-89.8880764,7600,200
99.8072412,-89.8873142,7700,200
100.148318,-89.8865481,7800,200
100.484781,-89.885778,7900,200
100.816702,-89.8850041,8000,200
101.144151,-89.8842265,8100,200
101.467195,-89.8834452,8200,200
101.785904,-89.8826603,8300,200
102.100344,-89.8818719,8400,200
102.410583,-89.8810801,8500,200
102.716686,-89.8802849,8600,200
103.018719,-89.8794864,8700,200
103.316745,-89.8786847,8800,200
103.610829,-89.8778798,8900,200
103.901032,-89.8770718,9000,200
104.187417,-89.8762608,9100,200
104.470045,-89.8754467,9200,200
104.748975,-89.8746298,9300,200
105.024266,-89.87381,9400,200
105.295978,-89.8729874,9500,200
105.564167,-89.872162,9600,200
105.828891,-89.871334,9700,200
106.090204,-89.8705033,9800,200
106.348162,-89.86967,9900,200
106.602819,-89.8688342,10000,200
106.854228,-89.8679959,10100,200
107.102441,-89.8671551,10200,200
107.34751,-89.866312,10300,200
107.589485,-89.8654666,10400,200
107.828416,-89.8646188,10500,200
108.064353,-89.8637688,10600,200
108.297342,-89.8629166,10700,200
108.527433,-89.8620622,10800,200
108.754671,-89.8612057,10900,200
108.979101,-89.8603471,11000,200
109.20077,-89.8594865,11100,200
109.419721,-89.8586238,11200,200
109.635998,-89.8577592,11300,200
109.849643,-89.8568927,11400,200
110.060698,-89.8560243,11500,200
110.269205,-89.855154,11600,200
110.475204,-89.8542819,11700,200
110.678735,-89.853408,11800,200
110.879837,-89.8525324,11900,200
111.076573,-89.8516638,11999,200
55.6347843,-89.9262061,0,300
56.428485,-89.9261205,100,300
57.2201318,-89.9260208,200,300
58.0094318,-89.9259071,300,300
58.7960977,-89.9257793,400,300
59.5798477,-89.9256376,500,300
60.3604067,-89.9254821,600,300
61.1375066,-89.9253129,700,300
61.9108864,-89.9251299,800,300
62.6802936,-89.9249335,900,300
63.4454834,-89.9247235,1000,300
64.20622,-89.9245003,1100,300
64.9622767,-89.9242639,1200,300
65.7134359,-89.9240143,1300,300
66.4594896,-89.9237519,1400,300
67.2002395,-89.9234766,1500,300
67.9354973,-89.9231887,1600,300
68.6650847,-89.9228882,1700,300
69.3888333,-89.9225754,1800,300
70.106585,-89.9222503,1900,300
70.8181918,-89.9219132,2000,300
71.5235159,-89.9215642,2100,300
72.2224293,-89.9212034,2200,300
72.9148141,-89.9208311,2300,300
73.6005622,-89.9204473,2400,300
74.2795751,-89.9200523,2500,300
74.9517639,-89.9196463,2600,300
75.6170489,-89.9192293,2700,300
